name,lat,lon
Casa forta de la Campanera ,41.367766,1.473814
Doldellops,41.285948,1.220721
Pont de les Femades ,41.386831,1.359411
Pont de pedra de Santes Creus ,41.34978,1.36188
Pont dels moros ,41.253392,1.174524
Pont trencat,41.26262,1.21893
Castell d&#8217;Ali\u00f3 ,41.293611,1.304722
Castell de l&#8217;Alb\u00e0,41.349754,1.42778
Castell de l&#8217;Arquebisbe,41.285866,1.250572
Castell de Montagut,41.406895,1.422271
Castell de Pinyana,41.406944,1.393402
Castell de Querol ,41.423481,1.397941
Castell de Ramonet,41.399254,1.411885
Castell de Rocamora,41.262592,1.366669
Castell de Rodony\u00e0 ,41.279722,1.398806
Castell de Saburella,41.424683,1.363136
Castell de Selma,41.367222,1.461389
Castell de Selmella,41.421001,1.337693
Castell de Vallmoll ,41.243668,1.247914
Castell de Vila-rodona ,41.31168,1.360508
Castell de Vilardida ,41.28627,1.36297
Castell del Mil\u00e0 ,41.248055,1.206857
Castell del Rourell ,41.223404,1.218753
Castell dels Garidells ,41.208056,1.247222
Castellot de Mas Mateu,41.293877,1.405537
Muralles d&#8217;Alcover ,41.261486,1.169583
La Mas\u00f3 de Selma ,41.36535,1.4478
Torre de Br\u00e0fim ,41.277901,1.352273
Torre de la Guinovarda,41.36935,1.501892
Torre de la Mixarda,41.340981,1.254587
Torre de la Quadra de Puigloret,41.368056,1.503333
Torre de les Destres,41.338257,1.379125
Torre de Montferri ,41.25156,1.367299
Torre del Petrol,41.315182,1.191233
Torre dels Galls Carnuts,41.381721,1.511838
Torres de defensa del Mas Mont-rav\u00e0,41.265396,1.129679
Capella de Santa Maria,41.28575,1.363444
Ermita de les Virtuts,41.266524,1.152395
Ermita de Sant Miquel,41.364444,1.494194
Ermita de Santa Agn\u00e8s,41.372053,1.432623
Ermita del Remei,41.269594,1.142068
Antiga esgl\u00e9sia de Santa Pere,41.246729,1.329795
Esgl\u00e9sia de Sant Crist\u00f2fol de Selma,41.366667,1.463444
Esgl\u00e9sia de Sant Jaume de Montagut,41.409851,1.425058
Esgl\u00e9sia de Sant Jaume de Valldecerves ,41.466603,1.485383
Esgl\u00e9sia de Sant Jaume d\u2019Esblada,41.444649,1.440377
Esgl\u00e9sia de Sant Jaume,41.372017,1.265086
Esgl\u00e9sia de Sant Lloren\u00e7 de Selmella ,41.421139,1.338333
Esgl\u00e9sia de Sant Mateu,41.351938,1.230086
Esgl\u00e9sia de Sant Miquel,41.264611,1.170778
Esgl\u00e9sia de Sant Pere de Mont-ral,41.287318,1.097975
Esgl\u00e9sia de Sant Pere,41.338154,1.379185
Esgl\u00e9sia de Sant Ramon,41.367723,1.288252
Esgl\u00e9sia de Santa Maria de Valldossera,41.400639,1.472972
Esgl\u00e9sia parroquial de Santa Maria,41.42393,1.399287
Esgl\u00e9sia Vella,41.262356,1.171157
Esglesiola de Sant Andreu,41.311381,1.086423
